Test Trajectory,Test Trajectory Timestep,Learner Trajectory,Learner Trajectory Timestep,Test Actions,Learner Actions,Test Rewards,Learner Rewards,Test Return,Learner Return
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.1161413192749023_0.6652175188064575_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,1.1161413192749023_0.6652175188064575_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,14.837429881095886,14.837429881095886
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.1179816722869873_0.6654741764068604_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,1.1179816722869873_0.6654741764068604_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,14.837737798690796,14.837737798690796
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.1178735494613647_0.6653379201889038_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,1.1178735494613647_0.6653379201889038_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,14.83860993385315,14.83860993385315
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,205,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,205,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.1181058883666992_0.665368378162384_1.0484257936477661_1.0555953979492188_1.0345672369003296_0.6577545404434204_1.0528852939605713_0.6578066349029541_1.031235694885254_1.0518457889556885_0.6577855348587036_1.0528016090393066_1.0427945852279663_1.0185877084732056_1.0264933109283447_0.667121410369873,1.1181058883666992_0.665368378162384_1.0484257936477661_1.0555953979492188_1.0345672369003296_0.6577545404434204_1.0528852939605713_0.6578066349029541_1.031235694885254_1.0518457889556885_0.6577855348587036_1.0528016090393066_1.0427945852279663_1.0185877084732056_1.0264933109283447_0.667121410369873,14.839174807071686,14.839174807071686
0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,200,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,200,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,1.1173574924468994_0.6652199625968933_1.0489540100097656_1.0562636852264404_1.0360779762268066_0.6585409045219421_1.0508207082748413_0.6577807068824768_1.0314011573791504_1.0526561737060547_0.6579284071922302_1.052537202835083_1.0424268245697021_1.0184060335159302_1.0274479389190674_0.6665523648262024,1.1173574924468994_0.6652199625968933_1.0489540100097656_1.0562636852264404_1.0360779762268066_0.6585409045219421_1.0508207082748413_0.6577807068824768_1.0314011573791504_1.0526561737060547_0.6579284071922302_1.052537202835083_1.0424268245697021_1.0184060335159302_1.0274479389190674_0.6665523648262024,14.840371549129486,14.840371549129486
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,200,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,200,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6933646202087402_1.0489540100097656_1.0562636852264404_1.0360779762268066_0.6585409045219421_1.0508207082748413_0.6577807068824768_1.0314011573791504_1.0526561737060547_0.6579284071922302_1.052537202835083_1.0424268245697021_1.0184060335159302_1.0274479389190674_0.6665523648262024,0.6933646202087402_1.0489540100097656_1.0562636852264404_1.0360779762268066_0.6585409045219421_1.0508207082748413_0.6577807068824768_1.0314011573791504_1.0526561737060547_0.6579284071922302_1.052537202835083_1.0424268245697021_1.0184060335159302_1.0274479389190674_0.6665523648262024,13.751158714294434,13.751158714294434
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,200,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,200,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6933646202087402_1.0489540100097656_1.0562636852264404_1.0360779762268066_0.6585409045219421_1.0508207082748413_0.6577807068824768_1.0314011573791504_1.0526561737060547_0.6579284071922302_1.052537202835083_1.0424268245697021_1.0184060335159302_1.0274479389190674_0.6665523648262024,0.6933646202087402_1.0489540100097656_1.0562636852264404_1.0360779762268066_0.6585409045219421_1.0508207082748413_0.6577807068824768_1.0314011573791504_1.0526561737060547_0.6579284071922302_1.052537202835083_1.0424268245697021_1.0184060335159302_1.0274479389190674_0.6665523648262024,13.751158714294434,13.751158714294434
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,200,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,200,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6933646202087402_1.0489540100097656_1.0562636852264404_1.0360779762268066_0.6585409045219421_1.0508207082748413_0.6577807068824768_1.0314011573791504_1.0526561737060547_0.6579284071922302_1.052537202835083_1.0424268245697021_1.0184060335159302_1.0274479389190674_0.6665523648262024,0.6933646202087402_1.0489540100097656_1.0562636852264404_1.0360779762268066_0.6585409045219421_1.0508207082748413_0.6577807068824768_1.0314011573791504_1.0526561737060547_0.6579284071922302_1.052537202835083_1.0424268245697021_1.0184060335159302_1.0274479389190674_0.6665523648262024,13.751158714294434,13.751158714294434
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6932036876678467_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,0.6932036876678467_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,13.749274730682373,13.749274730682373
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6932036876678467_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,0.6932036876678467_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,13.749274730682373,13.749274730682373
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6932036876678467_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,0.6932036876678467_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,13.749274730682373,13.749274730682373
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,201,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6932036876678467_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,0.6932036876678467_1.0491645336151123_1.056191086769104_1.0336856842041016_0.6585421562194824_1.0526371002197266_0.6579254269599915_1.0310029983520508_1.0520706176757812_0.6590275764465332_1.0513718128204346_1.0419459342956543_1.0188040733337402_1.0266571044921875_0.6670449376106262,13.749274730682373,13.749274730682373
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,13.748199045658112,13.748199045658112
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,13.748199045658112,13.748199045658112
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,13.748199045658112,13.748199045658112
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,13.748199045658112,13.748199045658112
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,13.748199045658112,13.748199045658112
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,202,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,0.6939170956611633_1.0480949878692627_1.055609107017517_1.0350102186203003_0.6581152677536011_1.0520317554473877_0.6575714945793152_1.0312162637710571_1.0517446994781494_0.6588759422302246_1.0514005422592163_1.0432517528533936_1.0182663202285767_1.0263785123825073_0.6667150855064392,13.748199045658112,13.748199045658112
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,203,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,203,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6940732002258301_1.0478870868682861_1.0568339824676514_1.0335056781768799_0.6585724353790283_1.0519137382507324_0.6577014327049255_1.0307376384735107_1.0520524978637695_0.6589046716690063_1.0514627695083618_1.0429091453552246_1.0190513134002686_1.0254621505737305_0.6668944358825684,0.6940732002258301_1.0478870868682861_1.0568339824676514_1.0335056781768799_0.6585724353790283_1.0519137382507324_0.6577014327049255_1.0307376384735107_1.0520524978637695_0.6589046716690063_1.0514627695083618_1.0429091453552246_1.0190513134002686_1.0254621505737305_0.6668944358825684,13.747962176799774,13.747962176799774
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,203,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,203,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6940732002258301_1.0478870868682861_1.0568339824676514_1.0335056781768799_0.6585724353790283_1.0519137382507324_0.6577014327049255_1.0307376384735107_1.0520524978637695_0.6589046716690063_1.0514627695083618_1.0429091453552246_1.0190513134002686_1.0254621505737305_0.6668944358825684,0.6940732002258301_1.0478870868682861_1.0568339824676514_1.0335056781768799_0.6585724353790283_1.0519137382507324_0.6577014327049255_1.0307376384735107_1.0520524978637695_0.6589046716690063_1.0514627695083618_1.0429091453552246_1.0190513134002686_1.0254621505737305_0.6668944358825684,13.747962176799774,13.747962176799774
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,203,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,203,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6940732002258301_1.0478870868682861_1.0568339824676514_1.0335056781768799_0.6585724353790283_1.0519137382507324_0.6577014327049255_1.0307376384735107_1.0520524978637695_0.6589046716690063_1.0514627695083618_1.0429091453552246_1.0190513134002686_1.0254621505737305_0.6668944358825684,0.6940732002258301_1.0478870868682861_1.0568339824676514_1.0335056781768799_0.6585724353790283_1.0519137382507324_0.6577014327049255_1.0307376384735107_1.0520524978637695_0.6589046716690063_1.0514627695083618_1.0429091453552246_1.0190513134002686_1.0254621505737305_0.6668944358825684,13.747962176799774,13.747962176799774
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,203,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,203,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6940732002258301_1.0478870868682861_1.0568339824676514_1.0335056781768799_0.6585724353790283_1.0519137382507324_0.6577014327049255_1.0307376384735107_1.0520524978637695_0.6589046716690063_1.0514627695083618_1.0429091453552246_1.0190513134002686_1.0254621505737305_0.6668944358825684,0.6940732002258301_1.0478870868682861_1.0568339824676514_1.0335056781768799_0.6585724353790283_1.0519137382507324_0.6577014327049255_1.0307376384735107_1.0520524978637695_0.6589046716690063_1.0514627695083618_1.0429091453552246_1.0190513134002686_1.0254621505737305_0.6668944358825684,13.747962176799774,13.747962176799774
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6941348314285278_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,0.6941348314285278_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,13.749533295631409,13.749533295631409
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6941348314285278_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,0.6941348314285278_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,13.749533295631409,13.749533295631409
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6941348314285278_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,0.6941348314285278_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,13.749533295631409,13.749533295631409
1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,1_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,204,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,2_3_3_3_3_3_3_3_3_3_3_3_4_4_3,0.6941348314285278_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,0.6941348314285278_1.048374891281128_1.0555946826934814_1.0348570346832275_0.6580195426940918_1.0531108379364014_0.657071053981781_1.0312234163284302_1.051941156387329_0.6589604616165161_1.051483154296875_1.0428234338760376_1.0189045667648315_1.0262521505355835_0.6667820811271667,13.749533295631409,13.749533295631409
